Minerds Bell Consultancy Group - Analysis of North FUA - 07-11-2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Product,MyNorth Investment,MyNorth Lifetime Income,MyNorth Pension,MyNorth Super,North Investment,North Personal Pension,North Personal Superannuation,Total,,
,,,,,,,,,,,
Cash / TDs,Investment ,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA $,% of total FUA
,Lazard Global Listed Infrastructure Fund,20177.35,,40065.48,158286.15,,,1655.77,220184.75,,
,Lendlease Group Fully Paid Ordinary/Units Stapled Securities,,,,48405.33,,,,48405.33,,
,Lifestyle Communities Limited Ordinary Fully Paid,,,,55468.93,,,,55468.93,,
,Lynas Rare Earths Limited Ordinary Fully Paid,,,,6324.8,,,,6324.8,,
,Macquarie Australian Diversified Income Fund,,,23190.2,,,,,23190.2,,
,Macquarie Australian Real Estate Fund - Class A Units,,,24793.3,,,,,24793.3,,
,Macquarie Cash,,,21171.2,109265.96,71802.07,8452.23,228972.68,439664.14,,
,Macquarie Corporate Bond Fund - Class A Units,88758.77,11893.1,293532.06,97868.55,,33359.56,14193.63,539605.67,,
,Macquarie Corporate Bond Fund - Class G Units,,,96107.06,34691.65,,,,130798.71,,
,Macquarie Dynamic Bond No. 1 Fund - Class W,,,8331.43,63256.94,,,791.74,72380.11,,
,Macquarie Global Listed Real Estate Fund - Class A Units,729257.39,5476.4,2377887.64,1009694.22,62852.54,110240.69,89404.03,4384812.91,,
,Macquarie Global Listed Real Estate Fund - Class G Units,9418.94,,137430.11,85175.8,,,,232024.85,,
,Macquarie Group Limited Ordinary Fully Paid,,,25322.31,69002.32,,,,94324.63,,
,Macquarie Income Opportunities Fund,,,,,,,10546.72,10546.72,,
,Macquarie True Index Australian Fixed Interest,,,19520.98,,,,,19520.98,,
,Magellan Financial Group Limited Ordinary Fully Paid,,,,37854.72,,,,37854.72,,
,Magellan Global Fund -Open Class Units -Active Etf Magellan Global Fund -Open Class Units -Active Etf,80226.08,,92654.36,32611.2,41828.92,,,247320.56,,
,Magellan Infrastructure Fund,102435.28,,225711.67,105502.72,,5153.9,5247.06,444050.63,,
,Magellan Infrastructure Fund (Unhedged),68135.1,,392484.16,413595.79,,,,874215.05,,
,Maple-Brown Abbott Global Listed Infrastructure Fund,7712.54,,24581.41,,,,,32293.95,,
,Maple-Brown Abbott Global Listed Infrastructure Fund (Hedged),,,8386.24,,,,,8386.24,,
,Martin Currie Australia Equity Income Fund,67694.25,,284905.25,451.23,15370.02,33225.35,,401646.1,,
,Medibank Private Limited Ordinary Fully Paid,,,,982.24,,,,982.24,,
,Merlon Australian Share Income Fund (W) ,,,8743.71,32729.46,,14415.1,,55888.27,,
,Metcash Limited Ordinary Fully Paid,,,,1012.83,,,,1012.83,,
,MFG Core Infrastructure Fund,,,7233.32,27125.65,,,1879.94,36238.91,,
,MFS Global Equity Trust,246426.71,,1163595.38,670063.89,13146.71,97778.56,2059.41,2193070.66,,
,MFS Hedged Global Equity Trust,,,,,,9096.27,,9096.27,,
,Morningstar Australian Share Fund,,,,273.65,,,,273.65,,
,Morningstar Global Opportunities Fund,,,,747.76,,,,747.76,,
,Morningstar International Bonds (Hedged) Fund - Class Z,,,,776.09,,,,776.09,,
,Morningstar International Shares Active Etf Morningstar International Shares Active Etf,,,,749.76,,,,749.76,,
,Morningstar Multi Asset Real Return Fund - Class Z,,,,623.86,,,,623.86,,
,Munro Global Growth Fund - Ordinary Units,,,262903.46,45693.93,30764.5,46680.13,,386042.02,,
,Munro Global Growth Small & Mid Cap Fund - Class A,,,,59824.3,,,,59824.3,,
,MyNorth Index Balanced,129193.09,,2648381.2,2073932.02,,,,4851506.31,,
,MyNorth Index Defensive,156639.28,,256575.48,,,,,413214.76,,
,MyNorth Index Growth,18053.49,,7506.36,1202318.8,,,,1227878.65,,
,MyNorth Index High Growth,78246.59,,,553447.76,,,,631694.35,,
,MyNorth Index Moderately Defensive,,,1260937.53,1114822.37,,,,2375759.9,,
,National Australia Bank Limited Ordinary Fully Paid,,,85675.72,40481.66,,,,126157.38,,
,North Index Balanced,,,98773.73,76040.1,206818.38,314416.82,56141.26,752190.29,,
,North Index Defensive,,,,,,96540.58,,96540.58,,
,North Index Growth,,,,,,,634497.76,634497.76,,
,North Index High Growth,,,,85825.4,116575.92,,414299.23,616700.55,,
,North Index Moderately Defensive,,,354077.88,,,221117.97,148373.81,723569.66,,
,North Professional Balanced,181547.29,,4821576.48,1860499.6,,1440600.91,1766853.48,10071077.76,,
